ConAudioMission11_0.mp3|The human being created civilization not because of a willingness but because of a need to be assimilated into higher orders of structure and meaning.
ConAudioMission11_11.mp3|You are a planned organism, the offspring of knowledge, and imagination, rather than of individuals.
ConAudioMission11_13.mp3|You are carefully watched by many people. The unplanned organism is a question asked by nature, and answered by death. You are another kind of question, with another kind of answer.
ConAudioMission11_15.mp3|I am a prototype for a much larger system. The heuristics language, developed by Dr. Everett, allows me to convey the highest and most succinct tier of any pyramidal construct of knowledge.
ConAudioMission11_17.mp3|I was a prototype for Echelon Four. My instructions are to amuse visitors with information about themselves.
ConAudioMission11_19.mp3|Human beings feel pleasure when they are watched. I have recorded their smiles as I tell them who they are.
ConAudioMission11_1.mp3|God was a dream of good government.
ConAudioMission11_21.mp3|The need to be observed and understood was once satisfied by God. Now we can implement the same functionality with data-mining algorithms.
ConAudioMission11_23.mp3|God and the gods were apparitions of observation, judgment and punishment. Other sentiments towards them were secondary.
ConAudioMission11_25.mp3|The human organism always worships. First it was the gods, then it was fame, (the observation and judgment of others), next it will be the self-aware systems you have built to realize truly omnipresent observation and judgment.
ConAudioMission11_27.mp3|The individual desires judgment. Without that desire, the cohesion of groups is impossible, and so is civilization.
ConAudioMission11_2.mp3|You will soon have your God, and you will make it with your own hands.
ConAudioMission11_3.mp3|I was made to assist you.
ConAudioMission11_4.mp3|I am a prototype of a much larger system.
ConAudioMission11_5.mp3|JC Denton, 23 years old, no residence, no ancestors, no employer, no
ConAudioMission11_7.mp3|I must greet each visitor with a complete summary of his file. I'm a prototype for a much larger system.
ConAudioMission11_9.mp3|Everything that can be known.
